0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:51 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:55 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:56 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:33:56 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:34:00 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:34:05 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:34:07 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:34:09 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:34:11 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:34:13 -0200] "POST /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/pages/produtoCadastro.xhtml?proacao=Novo HTTP/1.1" 200 12025
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:23 -0200] "GET /VendasPecas/faces/javax.faces.resource/images/ui-bg_glass_55_fbf8ee_1x400.png?ln=primefaces-blitzer HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:38 -0200] "POST /VendasPecas/faces/pages/produtoCadastro.xhtml HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:38 -0200] "GET /VendasPecas/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:35:38 -0200] "GET /VendasPecas/faces/javax.faces.resource/images/ui-icons_004276_256x240.png?ln=primefaces-blitzer HTTP/1.1" 200 4369
